,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
1,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
2,Dartford,0.0,GB,2020-04-20 03:30:02,81.0,51.44,0.22,46.0,3.36
3,Pamplona,90.0,ES,2020-04-20 03:34:34,93.0,42.82,-1.64,53.01,5.82
4,Katsuura,75.0,JP,2020-04-20 03:34:34,93.0,35.13,140.3,55.4,11.41
5,Puerto Ayora,50.0,EC,2020-04-20 03:34:34,86.0,-0.74,-90.35,80.01,8.01
6,Ohafia,97.0,NG,2020-04-20 03:34:34,87.0,5.62,7.83,74.35,2.95
7,Vaini,40.0,TO,2020-04-20 03:33:39,74.0,-21.2,-175.2,82.4,10.29
8,Cayenne,100.0,GF,2020-04-20 03:30:04,100.0,4.93,-52.33,77.0,3.36
9,Punta Arenas,40.0,CL,2020-04-20 03:34:35,75.0,-53.15,-70.92,42.8,19.46
10,Abnūb,0.0,EG,2020-04-20 03:34:35,51.0,27.27,31.15,60.8,8.05
11,Mildura,99.0,AU,2020-04-20 03:31:21,46.0,-34.2,142.15,73.4,10.29
12,Santa Cruz de Tenerife,75.0,ES,2020-04-20 03:34:36,100.0,28.47,-16.25,57.99,17.22
13,Malanje,44.0,AO,2020-04-20 03:34:36,70.0,-9.54,16.34,62.31,2.77
14,Jamestown,90.0,US,2020-04-20 03:34:36,74.0,42.1,-79.24,39.99,9.17
15,Ushuaia,75.0,AR,2020-04-20 03:34:37,86.0,-54.8,-68.3,39.2,24.16
16,San Cristobal,98.0,VE,2020-04-20 03:34:37,63.0,7.77,-72.22,67.6,1.95
17,Mataura,90.0,NZ,2020-04-20 03:34:38,68.0,-46.19,168.86,57.0,5.99
18,Rikitea,93.0,PF,2020-04-20 03:34:38,71.0,-23.12,-134.97,76.84,6.76
19,Cape Town,75.0,ZA,2020-04-20 03:32:19,77.0,-33.93,18.42,63.0,17.22
20,Road Town,22.0,VG,2020-04-20 03:34:08,82.0,18.42,-64.62,80.01,17.0
21,Atuona,45.0,PF,2020-04-20 03:34:39,75.0,-9.8,-139.03,82.72,12.82
22,Kapaa,20.0,US,2020-04-20 03:34:39,65.0,22.08,-159.32,78.8,10.29
23,Westerland,0.0,DE,2020-04-20 03:34:39,62.0,54.91,8.3,45.19,14.52
24,Saint-Philippe,75.0,RE,2020-04-20 03:34:39,69.0,-21.36,55.77,75.2,9.17
25,Esim,100.0,GH,2020-04-20 03:34:40,82.0,4.87,-2.24,81.27,6.38
26,Chui,0.0,UY,2020-04-20 03:34:40,85.0,-33.7,-53.46,64.47,9.71
27,Bethel,1.0,US,2020-04-20 03:34:40,40.0,41.37,-73.41,53.6,6.93
28,Severo-Kuril'sk,52.0,RU,2020-04-20 03:34:40,92.0,50.68,156.12,31.71,9.17
29,Baruun-Urt,92.0,MN,2020-04-20 03:34:40,64.0,46.68,113.28,26.13,15.68
30,Longyearbyen,75.0,SJ,2020-04-20 03:34:41,85.0,78.22,15.64,24.8,28.86
31,George Town,20.0,MY,2020-04-20 03:34:41,70.0,5.41,100.34,91.4,4.7
32,Callaway,90.0,US,2020-04-20 03:34:41,88.0,30.15,-85.57,77.0,12.75
33,Geraldton,75.0,AU,2020-04-20 03:34:42,44.0,-28.77,114.6,75.2,11.41
34,Mar del Plata,98.0,AR,2020-04-20 03:34:42,87.0,-38.0,-57.56,62.01,2.24
35,Beringovskiy,100.0,RU,2020-04-20 03:34:42,96.0,63.05,179.32,21.47,17.56
36,Dorogino,9.0,RU,2020-04-20 03:34:42,53.0,54.36,83.32,52.63,2.68
37,Tuatapere,16.0,NZ,2020-04-20 03:34:43,68.0,-46.13,167.68,57.0,5.99
38,Adrar,0.0,MR,2020-04-20 03:34:43,20.0,20.5,-10.07,72.52,7.61
39,Pisco,0.0,PE,2020-04-20 03:34:43,82.0,-13.7,-76.22,68.0,6.93
40,Xining,87.0,CN,2020-04-20 03:34:43,22.0,36.62,101.77,45.46,6.31
41,Bonavista,100.0,CA,2020-04-20 03:34:44,98.0,48.65,-53.11,32.25,30.91
42,Barrow,90.0,US,2020-04-20 03:34:44,85.0,71.29,-156.79,10.4,6.93
43,Tura,97.0,IN,2020-04-20 03:34:44,63.0,25.52,90.22,79.81,6.87
44,Sechelt,10.0,CA,2020-04-20 03:34:45,85.0,49.47,-123.77,54.0,1.01
45,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
46,Dartford,0.0,GB,2020-04-20 03:30:02,81.0,51.44,0.22,46.0,3.36
47,Pamplona,90.0,ES,2020-04-20 03:34:34,93.0,42.82,-1.64,53.01,5.82
48,Katsuura,75.0,JP,2020-04-20 03:34:34,93.0,35.13,140.3,55.4,11.41
49,Puerto Ayora,50.0,EC,2020-04-20 03:34:34,86.0,-0.74,-90.35,80.01,8.01
50,Ohafia,97.0,NG,2020-04-20 03:34:34,87.0,5.62,7.83,74.35,2.95
51,Vaini,40.0,TO,2020-04-20 03:33:39,74.0,-21.2,-175.2,82.4,10.29
52,Cayenne,100.0,GF,2020-04-20 03:30:04,100.0,4.93,-52.33,77.0,3.36
53,Punta Arenas,40.0,CL,2020-04-20 03:34:35,75.0,-53.15,-70.92,42.8,19.46
54,Abnūb,0.0,EG,2020-04-20 03:34:35,51.0,27.27,31.15,60.8,8.05
55,Mildura,99.0,AU,2020-04-20 03:31:21,46.0,-34.2,142.15,73.4,10.29
56,Santa Cruz de Tenerife,75.0,ES,2020-04-20 03:34:36,100.0,28.47,-16.25,57.99,17.22
57,Malanje,44.0,AO,2020-04-20 03:34:36,70.0,-9.54,16.34,62.31,2.77
58,Jamestown,90.0,US,2020-04-20 03:34:36,74.0,42.1,-79.24,39.99,9.17
59,Ushuaia,75.0,AR,2020-04-20 03:34:37,86.0,-54.8,-68.3,39.2,24.16
60,San Cristobal,98.0,VE,2020-04-20 03:34:37,63.0,7.77,-72.22,67.6,1.95
61,Mataura,90.0,NZ,2020-04-20 03:34:38,68.0,-46.19,168.86,57.0,5.99
62,Rikitea,93.0,PF,2020-04-20 03:34:38,71.0,-23.12,-134.97,76.84,6.76
63,Cape Town,75.0,ZA,2020-04-20 03:32:19,77.0,-33.93,18.42,63.0,17.22
64,Road Town,22.0,VG,2020-04-20 03:34:08,82.0,18.42,-64.62,80.01,17.0
65,Atuona,45.0,PF,2020-04-20 03:34:39,75.0,-9.8,-139.03,82.72,12.82
66,Kapaa,20.0,US,2020-04-20 03:34:39,65.0,22.08,-159.32,78.8,10.29
67,Westerland,0.0,DE,2020-04-20 03:34:39,62.0,54.91,8.3,45.19,14.52
68,Saint-Philippe,75.0,RE,2020-04-20 03:34:39,69.0,-21.36,55.77,75.2,9.17
69,Esim,100.0,GH,2020-04-20 03:34:40,82.0,4.87,-2.24,81.27,6.38
70,Chui,0.0,UY,2020-04-20 03:34:40,85.0,-33.7,-53.46,64.47,9.71
71,Bethel,1.0,US,2020-04-20 03:34:40,40.0,41.37,-73.41,53.6,6.93
72,Severo-Kuril'sk,52.0,RU,2020-04-20 03:34:40,92.0,50.68,156.12,31.71,9.17
73,Baruun-Urt,92.0,MN,2020-04-20 03:34:40,64.0,46.68,113.28,26.13,15.68
74,Longyearbyen,75.0,SJ,2020-04-20 03:34:41,85.0,78.22,15.64,24.8,28.86
75,George Town,20.0,MY,2020-04-20 03:34:41,70.0,5.41,100.34,91.4,4.7
76,Callaway,90.0,US,2020-04-20 03:34:41,88.0,30.15,-85.57,77.0,12.75
77,Geraldton,75.0,AU,2020-04-20 03:34:42,44.0,-28.77,114.6,75.2,11.41
78,Mar del Plata,98.0,AR,2020-04-20 03:34:42,87.0,-38.0,-57.56,62.01,2.24
79,Beringovskiy,100.0,RU,2020-04-20 03:34:42,96.0,63.05,179.32,21.47,17.56
80,Dorogino,9.0,RU,2020-04-20 03:34:42,53.0,54.36,83.32,52.63,2.68
81,Tuatapere,16.0,NZ,2020-04-20 03:34:43,68.0,-46.13,167.68,57.0,5.99
82,Adrar,0.0,MR,2020-04-20 03:34:43,20.0,20.5,-10.07,72.52,7.61
83,Pisco,0.0,PE,2020-04-20 03:34:43,82.0,-13.7,-76.22,68.0,6.93
84,Xining,87.0,CN,2020-04-20 03:34:43,22.0,36.62,101.77,45.46,6.31
85,Bonavista,100.0,CA,2020-04-20 03:34:44,98.0,48.65,-53.11,32.25,30.91
86,Barrow,90.0,US,2020-04-20 03:34:44,85.0,71.29,-156.79,10.4,6.93
87,Tura,97.0,IN,2020-04-20 03:34:44,63.0,25.52,90.22,79.81,6.87
88,Sechelt,10.0,CA,2020-04-20 03:34:45,85.0,49.47,-123.77,54.0,1.01
89,Hoyerswerda,0.0,DE,2020-04-20 03:35:25,65.0,51.43,14.25,37.99,1.01
90,Micheweni,100.0,TZ,2020-04-20 03:35:25,78.0,-4.97,39.83,80.53,15.43
91,Soe,2.0,ID,2020-04-20 03:35:25,53.0,-9.86,124.28,79.12,5.7
92,Butaritari,26.0,KI,2020-04-20 03:35:26,70.0,3.07,172.79,83.77,7.83
93,Bambous Virieux,40.0,MU,2020-04-20 03:35:26,83.0,-20.34,57.76,75.2,23.04
94,Port Alfred,0.0,ZA,2020-04-20 03:35:26,63.0,-33.59,26.89,71.01,3.0
95,Marion,90.0,US,2020-04-20 03:34:24,50.0,39.77,-86.16,54.0,11.41
96,Pangody,85.0,RU,2020-04-20 03:35:27,93.0,65.85,74.49,33.08,12.73
97,Ballina,64.0,AU,2020-04-20 03:35:27,34.0,-28.87,153.57,78.8,10.29
98,Albany,94.0,US,2020-04-20 03:35:27,75.0,42.6,-73.97,50.0,5.88
99,Gravdal,75.0,NO,2020-04-20 03:35:27,93.0,68.12,13.5,42.8,10.29
100,Saint-François,90.0,FR,2020-04-20 03:35:27,87.0,46.42,3.91,55.99,1.61
101,Praia da Vitória,40.0,PT,2020-04-20 03:35:28,76.0,38.73,-27.07,55.4,14.0
102,East London,0.0,ZA,2020-04-20 03:35:28,45.0,-33.02,27.91,84.2,11.41
103,Airai,32.0,TL,2020-04-20 03:35:28,43.0,-8.93,125.41,72.95,3.47
104,Ribeira Grande,2.0,PT,2020-04-20 03:35:28,58.0,38.52,-28.7,56.26,7.27
105,Alice Springs,53.0,AU,2020-04-20 03:30:46,15.0,-23.7,133.88,96.8,10.29
106,Port Elizabeth,0.0,ZA,2020-04-20 03:35:29,37.0,-33.92,25.57,71.6,14.99
107,Kahului,75.0,US,2020-04-20 03:34:02,54.0,20.89,-156.47,80.6,10.29
108,Sioux Lookout,90.0,CA,2020-04-20 03:35:29,59.0,50.1,-91.92,35.6,14.99
109,Aksu,96.0,CN,2020-04-20 03:35:30,40.0,41.12,80.26,57.87,1.54
110,Te Anau,23.0,NZ,2020-04-20 03:35:30,54.0,-45.42,167.72,53.29,7.65
111,Kruisfontein,0.0,ZA,2020-04-20 03:35:30,74.0,-34.0,24.73,60.62,5.37
112,Altay,0.0,CN,2020-04-20 03:35:30,30.0,47.87,88.12,55.11,2.37
113,Hilo,20.0,US,2020-04-20 03:35:30,57.0,19.73,-155.09,78.8,9.17
114,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
115,Dartford,0.0,GB,2020-04-20 03:30:02,81.0,51.44,0.22,46.0,3.36
116,Pamplona,90.0,ES,2020-04-20 03:34:34,93.0,42.82,-1.64,53.01,5.82
117,Katsuura,75.0,JP,2020-04-20 03:34:34,93.0,35.13,140.3,55.4,11.41
118,Puerto Ayora,50.0,EC,2020-04-20 03:34:34,86.0,-0.74,-90.35,80.01,8.01
119,Ohafia,97.0,NG,2020-04-20 03:34:34,87.0,5.62,7.83,74.35,2.95
120,Vaini,40.0,TO,2020-04-20 03:33:39,74.0,-21.2,-175.2,82.4,10.29
121,Cayenne,100.0,GF,2020-04-20 03:30:04,100.0,4.93,-52.33,77.0,3.36
122,Punta Arenas,40.0,CL,2020-04-20 03:34:35,75.0,-53.15,-70.92,42.8,19.46
123,Abnūb,0.0,EG,2020-04-20 03:34:35,51.0,27.27,31.15,60.8,8.05
124,Mildura,99.0,AU,2020-04-20 03:31:21,46.0,-34.2,142.15,73.4,10.29
125,Santa Cruz de Tenerife,75.0,ES,2020-04-20 03:34:36,100.0,28.47,-16.25,57.99,17.22
126,Malanje,44.0,AO,2020-04-20 03:34:36,70.0,-9.54,16.34,62.31,2.77
127,Jamestown,90.0,US,2020-04-20 03:34:36,74.0,42.1,-79.24,39.99,9.17
128,Ushuaia,75.0,AR,2020-04-20 03:34:37,86.0,-54.8,-68.3,39.2,24.16
129,San Cristobal,98.0,VE,2020-04-20 03:34:37,63.0,7.77,-72.22,67.6,1.95
130,Mataura,90.0,NZ,2020-04-20 03:34:38,68.0,-46.19,168.86,57.0,5.99
131,Rikitea,93.0,PF,2020-04-20 03:34:38,71.0,-23.12,-134.97,76.84,6.76
132,Cape Town,75.0,ZA,2020-04-20 03:32:19,77.0,-33.93,18.42,63.0,17.22
133,Road Town,22.0,VG,2020-04-20 03:34:08,82.0,18.42,-64.62,80.01,17.0
134,Atuona,45.0,PF,2020-04-20 03:34:39,75.0,-9.8,-139.03,82.72,12.82
135,Kapaa,20.0,US,2020-04-20 03:34:39,65.0,22.08,-159.32,78.8,10.29
136,Westerland,0.0,DE,2020-04-20 03:34:39,62.0,54.91,8.3,45.19,14.52
137,Saint-Philippe,75.0,RE,2020-04-20 03:34:39,69.0,-21.36,55.77,75.2,9.17
138,Esim,100.0,GH,2020-04-20 03:34:40,82.0,4.87,-2.24,81.27,6.38
139,Chui,0.0,UY,2020-04-20 03:34:40,85.0,-33.7,-53.46,64.47,9.71
140,Bethel,1.0,US,2020-04-20 03:34:40,40.0,41.37,-73.41,53.6,6.93
141,Severo-Kuril'sk,52.0,RU,2020-04-20 03:34:40,92.0,50.68,156.12,31.71,9.17
142,Baruun-Urt,92.0,MN,2020-04-20 03:34:40,64.0,46.68,113.28,26.13,15.68
143,Longyearbyen,75.0,SJ,2020-04-20 03:34:41,85.0,78.22,15.64,24.8,28.86
144,George Town,20.0,MY,2020-04-20 03:34:41,70.0,5.41,100.34,91.4,4.7
145,Callaway,90.0,US,2020-04-20 03:34:41,88.0,30.15,-85.57,77.0,12.75
146,Geraldton,75.0,AU,2020-04-20 03:34:42,44.0,-28.77,114.6,75.2,11.41
147,Mar del Plata,98.0,AR,2020-04-20 03:34:42,87.0,-38.0,-57.56,62.01,2.24
148,Beringovskiy,100.0,RU,2020-04-20 03:34:42,96.0,63.05,179.32,21.47,17.56
149,Dorogino,9.0,RU,2020-04-20 03:34:42,53.0,54.36,83.32,52.63,2.68
150,Tuatapere,16.0,NZ,2020-04-20 03:34:43,68.0,-46.13,167.68,57.0,5.99
151,Adrar,0.0,MR,2020-04-20 03:34:43,20.0,20.5,-10.07,72.52,7.61
152,Pisco,0.0,PE,2020-04-20 03:34:43,82.0,-13.7,-76.22,68.0,6.93
153,Xining,87.0,CN,2020-04-20 03:34:43,22.0,36.62,101.77,45.46,6.31
154,Bonavista,100.0,CA,2020-04-20 03:34:44,98.0,48.65,-53.11,32.25,30.91
155,Barrow,90.0,US,2020-04-20 03:34:44,85.0,71.29,-156.79,10.4,6.93
156,Tura,97.0,IN,2020-04-20 03:34:44,63.0,25.52,90.22,79.81,6.87
157,Sechelt,10.0,CA,2020-04-20 03:34:45,85.0,49.47,-123.77,54.0,1.01
158,Hoyerswerda,0.0,DE,2020-04-20 03:35:25,65.0,51.43,14.25,37.99,1.01
159,Micheweni,100.0,TZ,2020-04-20 03:35:25,78.0,-4.97,39.83,80.53,15.43
160,Soe,2.0,ID,2020-04-20 03:35:25,53.0,-9.86,124.28,79.12,5.7
161,Butaritari,26.0,KI,2020-04-20 03:35:26,70.0,3.07,172.79,83.77,7.83
162,Bambous Virieux,40.0,MU,2020-04-20 03:35:26,83.0,-20.34,57.76,75.2,23.04
163,Port Alfred,0.0,ZA,2020-04-20 03:35:26,63.0,-33.59,26.89,71.01,3.0
164,Marion,90.0,US,2020-04-20 03:34:24,50.0,39.77,-86.16,54.0,11.41
165,Pangody,85.0,RU,2020-04-20 03:35:27,93.0,65.85,74.49,33.08,12.73
166,Ballina,64.0,AU,2020-04-20 03:35:27,34.0,-28.87,153.57,78.8,10.29
167,Albany,94.0,US,2020-04-20 03:35:27,75.0,42.6,-73.97,50.0,5.88
168,Gravdal,75.0,NO,2020-04-20 03:35:27,93.0,68.12,13.5,42.8,10.29
169,Saint-François,90.0,FR,2020-04-20 03:35:27,87.0,46.42,3.91,55.99,1.61
170,Praia da Vitória,40.0,PT,2020-04-20 03:35:28,76.0,38.73,-27.07,55.4,14.0
171,East London,0.0,ZA,2020-04-20 03:35:28,45.0,-33.02,27.91,84.2,11.41
172,Airai,32.0,TL,2020-04-20 03:35:28,43.0,-8.93,125.41,72.95,3.47
173,Ribeira Grande,2.0,PT,2020-04-20 03:35:28,58.0,38.52,-28.7,56.26,7.27
174,Alice Springs,53.0,AU,2020-04-20 03:30:46,15.0,-23.7,133.88,96.8,10.29
175,Port Elizabeth,0.0,ZA,2020-04-20 03:35:29,37.0,-33.92,25.57,71.6,14.99
176,Kahului,75.0,US,2020-04-20 03:34:02,54.0,20.89,-156.47,80.6,10.29
177,Sioux Lookout,90.0,CA,2020-04-20 03:35:29,59.0,50.1,-91.92,35.6,14.99
178,Aksu,96.0,CN,2020-04-20 03:35:30,40.0,41.12,80.26,57.87,1.54
179,Te Anau,23.0,NZ,2020-04-20 03:35:30,54.0,-45.42,167.72,53.29,7.65
180,Kruisfontein,0.0,ZA,2020-04-20 03:35:30,74.0,-34.0,24.73,60.62,5.37
181,Altay,0.0,CN,2020-04-20 03:35:30,30.0,47.87,88.12,55.11,2.37
182,Hilo,20.0,US,2020-04-20 03:35:30,57.0,19.73,-155.09,78.8,9.17
183,Naze,75.0,JP,2020-04-20 03:35:31,64.0,28.37,129.48,71.6,12.75
184,Haines Junction,74.0,CA,2020-04-20 03:35:55,58.0,60.75,-137.51,43.29,8.57
185,Tilichiki,100.0,RU,2020-04-20 03:35:55,90.0,60.47,166.1,17.91,16.71
186,Fortuna,90.0,US,2020-04-20 03:35:56,81.0,40.6,-124.16,52.0,5.82
187,Chabahar,2.0,IR,2020-04-20 03:35:56,69.0,25.29,60.64,80.47,6.64
188,Esmeraldas,64.0,BR,2020-04-20 03:32:19,88.0,-19.76,-44.31,64.4,4.7
189,Hobart,75.0,AU,2020-04-20 03:35:56,77.0,-42.88,147.33,59.0,23.04
190,Douglas,40.0,US,2020-04-20 03:34:38,60.0,41.3,-96.17,53.6,5.57
191,Dawei,0.0,MM,2020-04-20 03:35:57,49.0,14.08,98.2,89.01,2.51
192,Bobrovytsya,0.0,UA,2020-04-20 03:35:57,86.0,50.75,31.38,32.0,8.95
193,Narsaq,1.0,GL,2020-04-20 03:35:57,41.0,60.92,-46.05,24.8,4.7
194,Mount Isa,81.0,AU,2020-04-20 03:35:58,15.0,-20.73,139.5,93.2,6.93
195,Dikson,86.0,RU,2020-04-20 03:35:58,94.0,73.51,80.55,33.6,17.05
196,Isangel,90.0,VU,2020-04-20 03:35:58,79.0,-19.55,169.27,84.2,9.17
197,Port Hardy,20.0,CA,2020-04-20 03:35:58,81.0,50.7,-127.42,50.0,10.29
198,Alofi,2.0,NU,2020-04-20 03:35:59,78.0,-19.06,-169.92,82.4,14.99
199,Kyra,73.0,RU,2020-04-20 03:35:59,55.0,49.58,111.98,26.44,16.53
200,Stary Krym,100.0,UA,2020-04-20 03:35:59,77.0,45.03,35.1,46.65,2.93
201,Santiago del Estero,0.0,AR,2020-04-20 03:35:59,47.0,-27.8,-64.26,67.91,7.81
202,Koumac,100.0,NC,2020-04-20 03:35:59,76.0,-20.57,164.28,80.96,8.88
203,Belfast,0.0,GB,2020-04-20 03:33:34,81.0,54.58,-5.93,43.0,6.93
204,Rexburg,20.0,US,2020-04-20 03:36:00,34.0,43.83,-111.79,51.8,2.68
205,Kidal,31.0,ML,2020-04-20 03:36:00,24.0,18.44,1.41,81.41,13.38
206,Bluff,70.0,NZ,2020-04-20 03:36:01,68.0,-46.6,168.33,57.0,5.99
207,Broome,90.0,US,2020-04-20 03:36:01,75.0,42.25,-75.83,46.0,11.41
208,Luang Prabang,8.0,LA,2020-04-20 03:35:04,74.0,19.89,102.13,80.6,2.24
209,Carnarvon,53.0,AU,2020-04-20 03:36:01,61.0,-24.87,113.63,78.8,18.34
210,Seabra,90.0,BR,2020-04-20 03:36:01,94.0,-12.42,-41.77,71.6,3.36
211,Bambanglipuro,83.0,ID,2020-04-20 03:36:02,66.0,-7.95,110.28,86.45,1.25
212,Sovetskiy,17.0,RU,2020-04-20 03:36:02,76.0,61.36,63.58,37.85,5.91
213,Qaanaaq,39.0,GL,2020-04-20 03:36:03,82.0,77.48,-69.36,9.43,11.48
214,Ginir,97.0,ET,2020-04-20 03:36:03,53.0,7.13,40.7,59.94,4.0
215,Egvekinot,92.0,RU,2020-04-20 03:36:03,90.0,66.32,-179.17,12.56,12.8
216,Saskylakh,17.0,RU,2020-04-20 03:36:03,95.0,71.92,114.08,22.86,2.73
217,Salinas,1.0,US,2020-04-20 03:32:38,71.0,36.68,-121.66,57.2,10.29
218,Guerrero Negro,99.0,MX,2020-04-20 03:36:04,78.0,27.98,-114.06,60.48,19.82
219,Grindavik,90.0,IS,2020-04-20 03:36:04,100.0,63.84,-22.43,46.4,24.16
220,Vila,75.0,PT,2020-04-20 03:36:04,93.0,42.03,-8.16,50.0,3.36
221,Tiksi,100.0,RU,2020-04-20 03:36:04,92.0,71.69,128.87,18.86,6.04
222,Acapulco de Juárez,5.0,MX,2020-04-20 03:35:06,94.0,16.86,-99.89,77.0,2.53
